Restaurant Name,outlet_count,avg_rating,total_votes,avg_votes,cities,countries,avg_cost
Little Chef,3,3.4,318,106.0,2,1,700.0
La Pino'z Pizza,3,3.97,394,131.0,2,1,717.0
Krispy Kreme,3,3.93,1257,419.0,2,1,350.0
Talaga Sampireun,3,4.9,5514,1838.0,2,1,200000.0
Sushiya Express,3,3.63,144,48.0,1,1,800.0
Sri Balaji,3,2.33,155,52.0,1,1,400.0
Street Foods by Punjab Grill,3,1.93,79,26.0,2,1,633.0
Speedy Chow,3,3.47,623,208.0,3,1,850.0
SodaBottleOpenerWala,3,4.07,5374,1791.0,3,1,1300.0
Side Wok,3,3.87,875,292.0,2,1,2000.0
Biryani By Kilo,3,4.0,553,184.0,3,1,700.0
Bikkgane Biryani,3,3.97,1882,627.0,3,1,800.0
Big Yellow Door,3,4.27,7511,2504.0,1,1,600.0
Bharat Sweets,3,3.33,65,22.0,1,1,200.0
Shawarma Wala,3,2.07,255,85.0,1,1,283.0
Shahenshah,3,3.13,72,24.0,1,1,500.0
Kerala Cafe,3,3.07,214,71.0,2,1,250.0
Kanwarji's,3,3.43,232,77.0,1,1,333.0
Joost Juice Bar,3,1.07,10,3.0,2,1,300.0
Just Vada Pav,3,1.2,97,32.0,1,1,133.0
KB's Kulfi & Icecream,3,3.13,73,24.0,1,1,200.0
Jaiveer Naan & Chaap,3,2.9,133,44.0,1,1,400.0
Foodies,3,0.0,0,0.0,1,1,350.0
Flying Cakes,3,2.23,205,68.0,2,1,350.0
Food Plaza,3,1.07,24,8.0,2,1,383.0
Food Scouts,3,4.43,312,104.0,1,1,700.0
Foodhall,3,2.53,143,48.0,1,1,700.0
Finger Licious,3,2.2,325,108.0,2,1,233.0
Indian Coffee House,3,3.53,1811,604.0,3,2,260.0
HuHot Mongolian Grill,3,3.77,618,206.0,3,1,25.0
Health Buzzz,3,3.13,40,13.0,2,1,350.0
Hira Sweets,3,3.03,140,47.0,2,1,467.0
Hangchuaa's Chinese Food Corner,3,2.97,60,20.0,1,1,600.0
Hard Rock Cafe,3,4.2,3491,1164.0,3,3,947.0
Hasty Tasty,3,2.03,99,33.0,1,1,300.0
Aggarwal Sweets India,3,1.73,61,20.0,2,1,150.0
Zaffran,3,4.17,1661,554.0,2,1,1800.0
221 B Baker Street,3,3.37,215,72.0,1,1,250.0
Aggarwal Bikaner Sweets,3,1.0,10,3.0,1,1,233.0
Aggarwal Sweet Centre,3,0.0,6,2.0,1,1,150.0
Zizo,3,3.87,1371,457.0,3,1,1600.0
bu��no,2,3.75,117,58.0,1,1,650.0
Adarsh Kulfi,2,1.5,10,5.0,1,1,100.0
Adyar Ananda Bhavan,2,3.15,407,204.0,1,1,500.0
Aggarwal Bikaneri Sweets,2,1.45,11,6.0,1,1,175.0
Aggarwal Sweet & Bakers,2,1.45,5,2.0,1,1,150.0
Aggarwal Sweets & Restaurant,2,1.35,11,6.0,2,1,250.0
Aggarwal Sweets Centre,2,1.45,5,2.0,2,1,150.0
Aggarwal's Sweets Paradise,2,2.8,24,12.0,1,1,350.0
Al Zaika,2,1.45,9,4.0,1,1,500.0
Alaturka,2,2.95,302,151.0,1,1,600.0
All About Food,2,1.95,305,152.0,1,1,425.0
Amar Bakery,2,1.65,13,6.0,1,1,375.0
Americana Kitchen and Bar,2,2.6,326,163.0,2,1,1950.0
Ammu's South Indian Restaurant,2,2.95,55,28.0,1,1,275.0
Amritsari Dhaba,2,3.05,28,14.0,1,1,375.0
Anand Sweets,2,0.0,3,2.0,1,1,125.0
Angeethi,2,3.05,118,59.0,2,1,625.0
Anjlika Pastry Shop,2,3.75,349,174.0,1,1,400.0
Ankur Family Restaurant,2,2.85,11,6.0,1,1,400.0
Anupam Sweets,2,2.55,29,14.0,1,1,175.0
The China Town,2,1.7,27,14.0,1,1,425.0
The Chocolate Room,2,3.5,214,107.0,2,1,875.0
The Crab Shack,2,3.95,1112,556.0,2,2,65.0
The Creamery,2,4.05,415,208.0,2,2,180.0
The Culinary Pitaara,2,3.5,102,51.0,1,1,900.0
The Dosa King,2,3.05,84,42.0,2,1,475.0
The Flying Saucer Cafe,2,4.1,3145,1572.0,1,1,1550.0
The Great Kabab Factory,2,3.5,1038,519.0,2,1,2200.0
Barbeque Ville,2,4.1,372,186.0,2,1,1050.0
Basil Tree,2,2.9,527,264.0,2,1,1100.0
Beijing Street,2,3.7,242,121.0,1,1,650.0
Beliram Degchiwala,2,3.5,333,166.0,1,1,900.0
Bengal Sweet Corner,2,2.8,192,96.0,1,1,525.0
The Chatter House,2,4.1,2136,1068.0,1,1,1800.0
The Cheesecake Factory,2,4.65,3010,1505.0,2,1,235.0
The Chef,2,2.95,31,16.0,2,1,550.0
Bake Club,2,3.15,59,30.0,1,1,250.0
Bake Walkers,2,0.0,0,0.0,1,1,300.0
Baker Street,2,3.85,831,416.0,2,1,350.0
Baker's Stop,2,3.75,241,120.0,1,1,350.0
Bakers Oven,2,3.6,252,126.0,1,1,600.0
Baking Bad,2,3.75,795,398.0,2,1,1000.0
Bakingo,2,2.85,15,8.0,2,1,350.0
Balaji Dhaba,2,1.35,14,7.0,1,1,250.0
Arabian Delites,2,3.6,214,107.0,1,1,600.0
Arabian Nites,2,3.65,397,198.0,2,1,450.0
Ashok Meat Wala,2,3.55,146,73.0,1,1,500.0
Ashoka Restaurant,2,3.55,318,159.0,2,1,850.0
